id;numero;inicio_rodada;fim_rodada;campeonato_id
1;1;2021-06-13 18:00:00;2021-06-14 23:59:59;1
2;2;2021-06-15 00:00:00;2021-06-18 23:59:59;1
3;3;2021-06-19 00:00:00;2021-06-21 23:59:59;1
4;4;2021-06-22 00:00:00;2021-06-24 23:59:59;1
5;5;2021-06-25 00:00:00;2021-06-29 23:59:59;1
